Genus	Species	Year_LifeStage_Loc	Season	Date	ID	Scan.id	Sex	Morph	All_ages_morph	Tube_ID	NGI.ID	Age	NGI_plateID	Season.id	Locale	Copula	Part.id	Eggcount	LifeStage	Colour	Locale_Sex	Locale_Morph	Locale_LifeStage
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68383	100	Male		NA	22.100	P41108_488	mature	P41108P4	2022.100	Hoje_A_7	1	99	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68384	101	Female	infuscans	I	22.101	P41108_478	mature	P41108P4	2022.101	Hoje_A_7	1	102	0	Adult	NA	Hoje_A_7_F	Hoje_A_7_I	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68385	102	Male		NA	22.102	P41108_489	mature	P41108P4	2022.102	Hoje_A_7	1	101	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68386	103	Female	infuscans	I	22.103	P41108_479	mature	P41108P4	2022.103	Hoje_A_7	1	104	105	Adult	NA	Hoje_A_7_F	Hoje_A_7_I	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Lomma	2022	2022-07-03	71147	1231	Female	infuscans-obsoleta	O	22.1231	P41109_462	immature	P41109P4	2022.1231	Lomma	1	1230	347	Adult	NA	Lomma_F	Lomma_O	Lomma_A
Ischnura	elegans	2022_Ad_Lomma	2022	2022-07-03	71154	1238	Female	androchrome	A	22.1238	P41109_388	immature	P41109P3	2022.1238	Lomma	0	NA	NA	Adult	NA	Lomma_F	Lomma_A	Lomma_A
Ischnura	elegans	2022_Ad_Lomma	2022	2022-07-03	71164	1245	Male		NA	22.1245	P41109_133	mature	P41109P1	2022.1245	Lomma	0	NA	NA	Adult	NA	Lomma_M	Lomma_NA	Lomma_A
Ischnura	elegans	2022_Ad_Lomma	2022	2022-07-03	71166	1247	Male		NA	22.1247	P41109_134	mature	P41109P1	2022.1247	Lomma	0	NA	NA	Adult	NA	Lomma_M	Lomma_NA	Lomma_A
Ischnura	elegans	2022_Ad_Lomma	2022	2022-07-03	71168	1249	Male		NA	22.1249	P41109_135	mature	P41109P1	2022.1249	Lomma	0	NA	NA	Adult	NA	Lomma_M	Lomma_NA	Lomma_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68408	125	Male		NA	22.125	P41109_142	mature	P41109P1	2022.125	Hoje_A_7	0	NA	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68409	126	Male		NA	22.126	P41109_143	mature	P41109P1	2022.126	Hoje_A_7	0	NA	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68415	132	Male		NA	22.132	P41109_347	mature	P41109P3	2022.132	Hoje_A_7	0	NA	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68416	133	Male		NA	22.133	P41109_348	mature	P41109P3	2022.133	Hoje_A_7	0	NA	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71638	1385	Female	androchrome	A	22.1385	P41108_336	mature	P41108P3	2022.1385	Hoje_A_7	1	1386	413	Adult	NA	Hoje_A_7_F	Hoje_A_7_A	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71639	1386	Male		NA	22.1386	P41108_340	mature	P41108P3	2022.1386	Hoje_A_7	1	1385	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71644	1391	Female	infuscans-obsoleta	O	22.1391	P41109_403	mature	P41109P4	2022.1391	Hoje_A_7	1	1392	0	Adult	NA	Hoje_A_7_F	Hoje_A_7_O	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71646	1393	Female	androchrome	A	22.1393	P41108_337	mature	P41108P3	2022.1393	Hoje_A_7	1	1394	335	Adult	NA	Hoje_A_7_F	Hoje_A_7_A	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71647	1394	Male		NA	22.1394	P41109_407	mature	P41109P4	2022.1394	Hoje_A_7	1	1393	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71648	1395	Female	androchrome	A	22.1395	P41108_338	mature	P41108P3	2022.1395	Hoje_A_7	1	1396	10	Adult	NA	Hoje_A_7_F	Hoje_A_7_A	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71649	1396	Male		NA	22.1396	P41108_341	mature	P41108P3	2022.1396	Hoje_A_7	1	1395	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71650	1397	Male		NA	22.1397	P41109_408	mature	P41109P4	2022.1397	Hoje_A_7	1	1398	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71651	1398	Female	androchrome	A	22.1398	P41109_406	mature	P41109P4	2022.1398	Hoje_A_7	1	1397	164	Adult	NA	Hoje_A_7_F	Hoje_A_7_A	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-06-07	68423	140	Female	androchrome	A	22.140	P41109_336	immature	P41109P3	2022.140	Hoje_A_7	0	NA	NA	Adult	NA	Hoje_A_7_F	Hoje_A_7_A	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71656	1403	Male		NA	22.1403	P41109_404	mature	P41109P4	2022.1403	Hoje_A_7	0	NA	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71658	1405	Male		NA	22.1405	P41109_405	mature	P41109P4	2022.1405	Hoje_A_7	0	NA	NA	Adult	NA	Hoje_A_7_M	Hoje_A_7_NA	Hoje_A_7_A
Ischnura	elegans	2022_Ad_Hoje_A_7	2022	2022-07-06	71666	1413	Female	infuscans	I	22.1413	P41108_334	mature	P41108P3	2022.1413	Hoje_A_7	0	NA	NA	Adult	NA	Hoje_A_7_F	Hoje_A_7_I	Hoje_A_7_A
