Season.id	Datum	population	Scan.id	Part.id	Sex	Age	Morph	All_ages_morph	Eggcount	Tube_ID	sample	Well	NGI_plateID	Mreads	BaseQ30	time	depth
2022.176	2022-06-08	Genarp	176	NA	0	mature	infuscans	I	NA	22.176	P36454_135	C:5	P36454P1	44.81	94.84	modern	high
2022.160	2022-06-08	Genarp	160	159	0	mature	infuscans	I	0	22.160	P36454_134	B:5	P36454P1	31.71	92.54	modern	high
2022.182	2022-06-08	Genarp	182	NA	1	mature		NA	NA	22.182	P36454_136	D:5	P36454P1	28.47	92.26	modern	high
2022.159	2022-06-08	Genarp	159	160	1	mature		NA	NA	22.159	P36454_133	A:5	P36454P1	66.55	95.67	modern	high
2022.205	2022-06-11	Lomma	205	NA	0	mature	androchrome	A	NA	22.205	P36454_142	B:6	P36454P1	39.6	94.07	modern	high
2022.206	2022-06-11	Lomma	206	NA	0	mature	androchrome	A	NA	22.206	P36454_143	C:6	P36454P1	33.48	94	modern	high
2022.187	2022-06-11	Lomma	187	188	0	mature	infuscans	I	2	22.187	P36454_137	E:5	P36454P1	45.04	93.77	modern	high
2022.195	2022-06-11	Lomma	195	196	0	mature	infuscans	I	198	22.195	P36454_139	G:5	P36454P1	38.64	93.32	modern	high
2022.203	2022-06-11	Lomma	203	NA	1	mature		NA	NA	22.203	P36454_141	A:6	P36454P1	48.81	94.38	modern	high
2022.188	2022-06-11	Lomma	188	187	1	mature		NA	NA	22.188	P36454_138	F:5	P36454P1	42.4	94.39	modern	high
2022.196	2022-06-11	Lomma	196	195	1	mature		NA	NA	22.196	P36454_140	H:5	P36454P1	38.99	93.47	modern	high
2022.317	2022-06-16	Hoje_A_14	317	NA	0	mature	androchrome	A	NA	22.317	P36454_148	H:6	P36454P1	37.62	93.67	modern	high
2022.319	2022-06-16	Hoje_A_14	319	NA	0	mature	infuscans	I	NA	22.319	P36454_217	A:3	P36454P2	40.32	94.42	modern	high
