sample	population	time	depth
L23.112	2023_La_Genarp	modern	lc
L23.115	2023_La_Genarp	modern	lc
L23.120	2023_La_Genarp	modern	lc
L23.129	2023_La_Genarp	modern	lc
L23.146	2023_La_Genarp	modern	lc
L23.163	2023_La_Genarp	modern	lc
L23.190	2023_La_Genarp	modern	lc
L23.349	2023_La_Genarp	modern	lc
L23.155	2023_La_Genarp	modern	lc
L23.178	2023_La_Genarp	modern	lc
L23.530	2023_La_Genarp	modern	lc
L23.121	2023_La_Genarp	modern	lc
L23.141	2023_La_Genarp	modern	lc
L23.345	2023_La_Genarp	modern	lc
L24.259	2024_La_Genarp	modern	lc
L23.134	2023_La_Genarp	modern	lc
L24.49	2024_La_Genarp	modern	lc
L24.179	2024_La_Genarp	modern	lc
L24.264	2024_La_Genarp	modern	lc
L24.327	2024_La_Genarp	modern	lc
L24.341	2024_La_Genarp	modern	lc
L24.350	2024_La_Genarp	modern	lc
L24.357	2024_La_Genarp	modern	lc
L24.45	2024_La_Genarp	modern	lc
L24.177	2024_La_Genarp	modern	lc
L24.275	2024_La_Genarp	modern	lc
L24.335	2024_La_Genarp	modern	lc
L24.352	2024_La_Genarp	modern	lc
L24.411	2024_La_Genarp	modern	lc
L24.420	2024_La_Genarp	modern	lc
L24.480	2024_La_Genarp	modern	lc
L24.345	2024_La_Genarp	modern	lc
22.159	2022_Ad_Genarp	modern	lc
22.160	2022_Ad_Genarp	modern	lc
22.176	2022_Ad_Genarp	modern	lc
22.182	2022_Ad_Genarp	modern	lc
22.187	2022_Ad_Lomma	modern	lc
22.188	2022_Ad_Lomma	modern	lc
22.195	2022_Ad_Lomma	modern	lc
22.196	2022_Ad_Lomma	modern	lc
22.203	2022_Ad_Lomma	modern	lc
22.205	2022_Ad_Lomma	modern	lc
22.206	2022_Ad_Lomma	modern	lc
22.307	2022_Ad_Hoje_A_14	modern	lc
22.308	2022_Ad_Hoje_A_14	modern	lc
22.309	2022_Ad_Hoje_A_14	modern	lc
22.310	2022_Ad_Hoje_A_14	modern	lc
22.317	2022_Ad_Hoje_A_14	modern	lc
23.31	2023_Ad_Lomma	modern	lc
23.32	2023_Ad_Lomma	modern	lc
23.33	2023_Ad_Lomma	modern	lc
23.116	2023_Ad_Genarp	modern	lc
23.117	2023_Ad_Genarp	modern	lc
23.122	2023_Ad_Genarp	modern	lc
23.123	2023_Ad_Genarp	modern	lc
23.272	2023_Ad_Hoje_A_14	modern	lc
23.273	2023_Ad_Hoje_A_14	modern	lc
23.274	2023_Ad_Hoje_A_14	modern	lc
23.275	2023_Ad_Hoje_A_14	modern	lc
23.280	2023_Ad_Hoje_A_14	modern	lc
23.281	2023_Ad_Hoje_A_14	modern	lc
23.303	2023_Ad_Hoje_A_14	modern	lc
23.304	2023_Ad_Hoje_A_14	modern	lc
23.307	2023_Ad_Hoje_A_14	modern	lc
24.98	2024_Ad_Lomma	modern	lc
24.99	2024_Ad_Lomma	modern	lc
24.100	2024_Ad_Lomma	modern	lc
24.101	2024_Ad_Lomma	modern	lc
24.103	2024_Ad_Lomma	modern	lc
24.104	2024_Ad_Lomma	modern	lc
24.150	2024_Ad_Hoje_A_14	modern	lc
24.151	2024_Ad_Hoje_A_14	modern	lc
24.152	2024_Ad_Hoje_A_14	modern	lc
24.153	2024_Ad_Hoje_A_14	modern	lc
24.447	2024_Ad_Lomma	modern	lc
24.448	2024_Ad_Lomma	modern	lc
24.454	2024_Ad_Lomma	modern	lc
24.458	2024_Ad_Lomma	modern	lc
24.604	2024_Ad_Genarp	modern	lc
24.606	2024_Ad_Genarp	modern	lc
L23.6	2023_La_Hoje_A_14	modern	lc
L23.379	2023_La_Hoje_A_14	modern	lc
L23.499	2023_La_Hoje_A_14	modern	lc
L23.617	2023_La_Hoje_A_14	modern	lc
L23.631	2023_La_Hoje_A_14	modern	lc
L23.584	2023_La_Hoje_A_14	modern	lc
L23.4	2023_La_Hoje_A_14	modern	lc
L23.105	2023_La_Hoje_A_14	modern	lc
L23.371	2023_La_Hoje_A_14	modern	lc
L23.376	2023_La_Hoje_A_14	modern	lc
L23.461	2023_La_Hoje_A_14	modern	lc
L23.494	2023_La_Hoje_A_14	modern	lc
L23.453	2023_La_Hoje_A_14	modern	lc
L23.484	2023_La_Hoje_A_14	modern	lc
L24.6	2024_La_Hoje_A_14	modern	lc
L24.137	2024_La_Hoje_A_14	modern	lc
L24.244	2024_La_Hoje_A_14	modern	lc
L24.256	2024_La_Hoje_A_14	modern	lc
L24.425	2024_La_Hoje_A_14	modern	lc
L24.10	2024_La_Hoje_A_14	modern	lc
L24.106	2024_La_Hoje_A_14	modern	lc
L24.132	2024_La_Hoje_A_14	modern	lc
L24.18	2024_La_Hoje_A_14	modern	lc
L24.111	2024_La_Hoje_A_14	modern	lc
L24.277	2024_La_Hoje_A_14	modern	lc
L24.433	2024_La_Hoje_A_14	modern	lc
L24.113	2024_La_Hoje_A_14	modern	lc
L24.51	2024_La_Lomma	modern	lc
L24.71	2024_La_Lomma	modern	lc
L24.91	2024_La_Lomma	modern	lc
22.319	2022_Ad_Hoje_A_14	modern	lc
22.322	2022_Ad_Hoje_A_14	modern	lc
