sample	population	time	depth
L23.112	Genarp	modern	lc
L23.115	Genarp	modern	lc
L23.120	Genarp	modern	lc
L23.129	Genarp	modern	lc
L23.146	Genarp	modern	lc
L23.163	Genarp	modern	lc
L23.190	Genarp	modern	lc
L23.349	Genarp	modern	lc
L23.155	Genarp	modern	lc
L23.178	Genarp	modern	lc
L23.530	Genarp	modern	lc
L23.121	Genarp	modern	lc
L23.141	Genarp	modern	lc
L23.345	Genarp	modern	lc
L24.259	Genarp	modern	lc
L23.134	Genarp	modern	lc
L24.49	Genarp	modern	lc
L24.179	Genarp	modern	lc
L24.264	Genarp	modern	lc
L24.327	Genarp	modern	lc
L24.341	Genarp	modern	lc
L24.350	Genarp	modern	lc
L24.357	Genarp	modern	lc
L24.45	Genarp	modern	lc
L24.177	Genarp	modern	lc
L24.275	Genarp	modern	lc
L24.335	Genarp	modern	lc
L24.352	Genarp	modern	lc
L24.411	Genarp	modern	lc
L24.420	Genarp	modern	lc
L24.480	Genarp	modern	lc
L24.345	Genarp	modern	lc
22.159	Genarp	modern	lc
22.160	Genarp	modern	lc
22.176	Genarp	modern	lc
22.182	Genarp	modern	lc
22.187	Lomma	modern	lc
22.188	Lomma	modern	lc
22.195	Lomma	modern	lc
22.196	Lomma	modern	lc
22.203	Lomma	modern	lc
22.205	Lomma	modern	lc
22.206	Lomma	modern	lc
22.307	Hoje_A_14	modern	lc
22.308	Hoje_A_14	modern	lc
22.309	Hoje_A_14	modern	lc
22.310	Hoje_A_14	modern	lc
22.317	Hoje_A_14	modern	lc
23.31	Lomma	modern	lc
23.32	Lomma	modern	lc
23.33	Lomma	modern	lc
23.116	Genarp	modern	lc
23.117	Genarp	modern	lc
23.122	Genarp	modern	lc
23.123	Genarp	modern	lc
23.272	Hoje_A_14	modern	lc
23.273	Hoje_A_14	modern	lc
23.274	Hoje_A_14	modern	lc
23.275	Hoje_A_14	modern	lc
23.280	Hoje_A_14	modern	lc
23.281	Hoje_A_14	modern	lc
23.303	Hoje_A_14	modern	lc
23.304	Hoje_A_14	modern	lc
23.307	Hoje_A_14	modern	lc
24.98	Lomma	modern	lc
24.99	Lomma	modern	lc
24.100	Lomma	modern	lc
24.101	Lomma	modern	lc
24.103	Lomma	modern	lc
24.104	Lomma	modern	lc
24.150	Hoje_A_14	modern	lc
24.151	Hoje_A_14	modern	lc
24.152	Hoje_A_14	modern	lc
24.153	Hoje_A_14	modern	lc
24.447	Lomma	modern	lc
24.448	Lomma	modern	lc
24.454	Lomma	modern	lc
24.458	Lomma	modern	lc
24.604	Genarp	modern	lc
24.606	Genarp	modern	lc
L23.6	Hoje_A_14	modern	lc
L23.379	Hoje_A_14	modern	lc
L23.499	Hoje_A_14	modern	lc
L23.617	Hoje_A_14	modern	lc
L23.631	Hoje_A_14	modern	lc
