sample	Tube_ID	population	Sex	Morph	Age
P36454_135	22.176	Genarp	0	infuscans	mature
P36454_134	22.160	Genarp	0	infuscans	mature
P36454_136	22.182	Genarp	1		mature
P36454_133	22.159	Genarp	1		mature
P36454_142	22.205	Lomma	0	androchrome	mature
P36454_143	22.206	Lomma	0	androchrome	mature
P36454_137	22.187	Lomma	0	infuscans	mature
P36454_139	22.195	Lomma	0	infuscans	mature
P36454_141	22.203	Lomma	1		mature
P36454_138	22.188	Lomma	1		mature
P36454_140	22.196	Lomma	1		mature
P36454_148	22.317	Hoje_A_14	0	androchrome	mature
P36454_217	22.319	Hoje_A_14	0	infuscans	mature
P36454_145	22.308	Hoje_A_14	0	androchrome	mature
P36454_146	22.309	Hoje_A_14	0	infuscans	mature
P36454_218	22.322	Hoje_A_14	1		mature
P36454_144	22.307	Hoje_A_14	1		mature
P36454_147	22.310	Hoje_A_14	1		mature
P36454_223	22.471	Genarp	0	androchrome	mature
P36454_219	22.407	Genarp	0	androchrome	mature
P36454_221	22.417	Genarp	0	infuscans	mature
P36454_220	22.408	Genarp	1		mature
P36454_222	22.418	Genarp	1		mature
P36454_226	22.637	Lomma	0	androchrome	mature
P36454_228	22.654	Lomma	0	androchrome	mature
P36454_224	22.628	Lomma	1		mature
P36454_225	22.633	Lomma	1		mature
P36454_227	22.638	Lomma	1		mature
P36454_387	22.652	Lomma	1		mature
P36454_229	22.875	Hoje_A_14	0	infuscans	mature
P36454_230	22.876	Hoje_A_14	1		mature
P36454_232	22.922	Genarp	0	androchrome	mature
P36454_294	22.972	Genarp	1		mature
P36454_393	22.975	Genarp	1		mature
P36454_231	22.921	Genarp	1		mature
P36454_302	22.1239	Lomma	0	infuscans	mature
P36454_301	22.1235	Lomma	0	androchrome	mature
P36454_303	22.1252	Lomma	1		mature
P36454_394	22.1234	Lomma	1		mature
P36454_307	22.1443	Hoje_A_14	0	androchrome	mature
P36454_306	22.1435	Hoje_A_14	0	infuscans	mature
P36454_308	22.1449	Hoje_A_14	0	androchrome	mature
P36454_304	22.1425	Hoje_A_14	1		mature
P36454_305	22.1430	Hoje_A_14	1		mature
P36454_309	22.1450	Hoje_A_14	1		mature
P36454_310	22.1500	Genarp	0	androchrome	mature
P36454_312	22.1800	Lomma	0	infuscans	mature
P36454_311	22.1799	Lomma	1		mature
P36454_388	22.1789	Lomma	1		mature
P36454_349	22.1852	Genarp	0	androchrome	mature
P36454_350	22.1856	Genarp	0	infuscans	mature
P36454_314	22.1833	Genarp	0	androchrome	mature
P36454_315	22.1839	Genarp	1		mature
P36454_316	22.1844	Genarp	1		mature
P36454_313	22.1832	Genarp	1		mature
P36454_351	22.1876	Hoje_A_14	1		mature
P36454_353	22.2132	Hoje_A_14	0	androchrome	mature
P36454_354	22.2144	Hoje_A_14	1		mature
P36454_352	22.2131	Hoje_A_14	1		mature
P36454_181	L23.6	Hoje_A_14	Female	NA	NA
P36454_187	L23.4	Hoje_A_14	Male	NA	NA
P36454_101	L23.112	Genarp	Female	NA	NA
P36454_102	L23.115	Genarp	Female	NA	NA
P36454_103	L23.120	Genarp	Female	NA	NA
P36454_104	L23.129	Genarp	Female	NA	NA
P36454_116	L23.134	Genarp	Female	NA	NA
P36454_105	L23.146	Genarp	Female	NA	NA
P36454_112	L23.121	Genarp	Male	NA	NA
P36454_113	L23.141	Genarp	Male	NA	NA
P36454_188	L23.105	Hoje_A_14	Male	NA	NA
P36454_106	L23.163	Genarp	Female	NA	NA
P36454_107	L23.190	Genarp	Female	NA	NA
P36454_109	L23.155	Genarp	Male	NA	NA
P36454_110	L23.178	Genarp	Male	NA	NA
P36454_151	23.33	Lomma	0	androchrome	mature
P36454_149	23.31	Lomma	0	androchrome	mature
P36454_150	23.32	Lomma	1		mature
P36454_265	L23.319	Lomma_Kyrkdamm	Female	NA	NA
P36454_266	L23.329	Lomma_Kyrkdamm	Female	NA	NA
P36454_280	L23.332	Lomma_Kyrkdamm	Female	NA	NA
P36454_272	L23.314	Lomma_Kyrkdamm	Male	NA	NA
P36454_273	L23.323	Lomma_Kyrkdamm	Male	NA	NA
P36454_182	L23.379	Hoje_A_14	Female	NA	NA
P36454_189	L23.371	Hoje_A_14	Male	NA	NA
P36454_190	L23.376	Hoje_A_14	Male	NA	NA
P36454_153	23.117	Genarp	0	androchrome	mature
P36454_155	23.123	Genarp	0	androchrome	mature
P36454_152	23.116	Genarp	1		mature
P36454_154	23.122	Genarp	1		mature
P36454_108	L23.349	Genarp	Female	NA	NA
P36454_114	L23.345	Genarp	Male	NA	NA
P36454_267	L23.388	Lomma_Kyrkdamm	Female	NA	NA
P36454_268	L23.392	Lomma_Kyrkdamm	Female	NA	NA
P36454_274	L23.397	Lomma_Kyrkdamm	Male	NA	NA
P36454_275	L23.399	Lomma_Kyrkdamm	Male	NA	NA
P36454_276	L23.404	Lomma_Kyrkdamm	Male	NA	NA
P36454_193	L23.453	Hoje_A_14	Female	NA	NA
P36454_191	L23.461	Hoje_A_14	Male	NA	NA
P36454_269	L23.435	Lomma_Kyrkdamm	Female	NA	NA
P36454_270	L23.439	Lomma_Kyrkdamm	Female	NA	NA
P36454_277	L23.423	Lomma_Kyrkdamm	Male	NA	NA
P36454_278	L23.432	Lomma_Kyrkdamm	Male	NA	NA
P36454_164	23.307	Hoje_A_14	0	androchrome	mature
P36454_157	23.273	Hoje_A_14	0	androchrome	mature
P36454_160	23.280	Hoje_A_14	0	androchrome	mature
P36454_158	23.274	Hoje_A_14	0	infuscans	mature
P36454_162	23.303	Hoje_A_14	1		mature
P36454_163	23.304	Hoje_A_14	1		mature
P36454_156	23.272	Hoje_A_14	1		mature
P36454_159	23.275	Hoje_A_14	1		mature
P36454_161	23.281	Hoje_A_14	1		mature
P36454_183	L23.499	Hoje_A_14	Female	NA	NA
P36454_194	L23.484	Hoje_A_14	Male	NA	NA
P36454_192	L23.494	Hoje_A_14	Male	NA	NA
P36454_111	L23.530	Genarp	Male	NA	NA
P36454_237	23.477	Lomma	0		mature
P36454_233	23.454	Lomma	0	androchrome	mature
P36454_236	23.463	Lomma	0	androchrome	mature
P36454_238	23.486	Lomma	1		mature
P36454_239	23.489	Lomma	1		mature
P36454_235	23.455	Lomma	1		mature
P36454_234	23.462	Lomma	1		mature
P36454_244	23.520	Genarp	0	androchrome	mature
P36454_245	23.526	Genarp	0	infuscans	mature
P36454_240	23.506	Genarp	0	androchrome	mature
P36454_242	23.516	Genarp	0	infuscans	mature
P36454_246	23.539	Genarp	1		mature
P36454_247	23.544	Genarp	1		mature
P36454_241	23.507	Genarp	1		mature
P36454_243	23.517	Genarp	1		mature
P36454_391	L23.581	Hoje_A_14	Female	NA	NA
P36454_186	L23.584	Hoje_A_14	Female	NA	NA
P36454_271	L23.595	Lomma_Kyrkdamm	Female	NA	NA
P36454_279	L23.601	Lomma_Kyrkdamm	Male	NA	NA
P36454_184	L23.617	Hoje_A_14	Female	NA	NA
P36454_392	L23.630	Hoje_A_14	Female	NA	NA
P36454_185	L23.631	Hoje_A_14	Female	NA	NA
P36454_324	23.818	Hoje_A_14	0	androchrome	mature
P36454_326	23.875	Hoje_A_14	1		mature
P36454_325	23.819	Hoje_A_14	1		mature
P36454_248	23.773	Lomma	0	androchrome	mature
P36454_320	23.799	Lomma	0	androchrome	mature
P36454_321	23.802	Lomma	0		mature
P36454_317	23.778	Lomma	0	infuscans	mature
P36454_322	23.806	Lomma	1		mature
P36454_323	23.809	Lomma	1		mature
P36454_318	23.779	Lomma	1		mature
P36454_319	23.798	Lomma	1		mature
