sample	unit	lib	platform	fq1	fq2
23x818	 P36454P3   	P36454_324	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L004_R2_001.fastq.gz
23x818	 P36454P3   	P36454_324	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L003_R2_001.fastq.gz
23x818	 P36454P3   	P36454_324	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L002_R2_001.fastq.gz
22x2132	 P36454P3   	P36454_353	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L002_R2_001.fastq.gz
22x2132	 P36454P3   	P36454_353	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L003_R2_001.fastq.gz
22x2132	 P36454P3   	P36454_353	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L004_R2_001.fastq.gz
23x819	 P36454P3   	P36454_325	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L003_R2_001.fastq.gz
23x819	 P36454P3   	P36454_325	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L002_R2_001.fastq.gz
23x819	 P36454P3   	P36454_325	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L004_R2_001.fastq.gz
L23x461	 P36454P1   	P36454_191	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L003_R2_001.fastq.gz
L23x461	 P36454P1   	P36454_191	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L004_R2_001.fastq.gz
L23x461	 P36454P1   	P36454_191	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L002_R2_001.fastq.gz
L24x277	 P36454P2   	P36454_211	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L002_R2_001.fastq.gz
L24x277	 P36454P2   	P36454_211	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L003_R2_001.fastq.gz
