sample	unit	lib	platform	fq1	fq2
L23.112	P36454_101.4	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_101/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_101_S111_L004_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_101/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_101_S111_L004_R2_001.fastq.gz
L23.112	P36454_101.2	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_101/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_101_S111_L002_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_101/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_101_S111_L002_R2_001.fastq.gz
L23.112	P36454_101.3	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_101/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_101_S111_L003_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_101/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_101_S111_L003_R2_001.fastq.gz
L23.115	P36454_102.3	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_102/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_102_S112_L003_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_102/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_102_S112_L003_R2_001.fastq.gz
L23.115	P36454_102.2	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_102/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_102_S112_L002_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_102/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_102_S112_L002_R2_001.fastq.gz
L23.115	P36454_102.4	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_102/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_102_S112_L004_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_102/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_102_S112_L004_R2_001.fastq.gz
L23.120	P36454_103.4	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_103/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_103_S113_L004_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_103/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_103_S113_L004_R2_001.fastq.gz
L23.120	P36454_103.2	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_103/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_103_S113_L002_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_103/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_103_S113_L002_R2_001.fastq.gz
L23.120	P36454_103.3	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_103/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_103_S113_L003_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_103/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_103_S113_L003_R2_001.fastq.gz
L23.129	P36454_104.4	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_104/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_104_S114_L004_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_104/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_104_S114_L004_R2_001.fastq.gz
L23.129	P36454_104.3	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_104/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_104_S114_L003_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_104/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_104_S114_L003_R2_001.fastq.gz
L23.129	P36454_104.2	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_104/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_104_S114_L002_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_104/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_104_S114_L002_R2_001.fastq.gz
L23.146	P36454_105.4	P36454P1	ILLUMINA	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_105/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_105_S115_L004_R1_001.fastq.gz	/cfs/klemming/projects/supr/snic2020-6-170/RawData/lcNGS_2025/files/P36454/P36454_105/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_105_S115_L004_R2_001.fastq.gz
