Genus	Species	ID	Season.id	Box	Datum	Season	Locale	Scan.id	Part.id	Sex	Age	Copula	Morph	All_ages_morph	Col.phas	Thor.col	Colour	Eggcount	Size	Parasite	Extracted	Extraction_TubeID	Extraction_round	Tube_ID	SentSeq	Qbit	NGI_Sample_ID	Well	NGI_plateID	Mreads	BaseQ30	total_unique	total_duplicate	coverage	Comments	multiqc.seq.cov	multiqc.comments
Ischnura	elegans	67863	2022.6		2022-06-03	2022	Lomma	6		0	immature	0	androchrome	A		blue				6	0			22.6													
Ischnura	elegans	67859	2022.3		2022-06-03	2022	Lomma	3	4	0	immature	1	androchrome	A		turquoise		34		0	0			22.3													
Ischnura	elegans	67861	2022.5		2022-06-03	2022	Lomma	5		1	immature	0				blue				0	0			22.5													
Ischnura	elegans	67860	2022.4		2022-06-03	2022	Lomma	4	3	1	mature	1				blue				2	0			22.4													
Ischnura	elegans	68422	2022.139		2022-06-07	2022	Hoje_A_7	139		0	immature	0	androchrome	A	violacea(androchrome)	violet-blue				0	0			22.139													
Ischnura	elegans	68423	2022.14		2022-06-07	2022	Hoje_A_7	140		0	immature	0	androchrome	A	violacea(androchrome)	violet-green				0	0			22.140													
Ischnura	elegans	68427	2022.144		2022-06-07	2022	Hoje_A_7	144		0	immature	0	androchrome	A	violacea(androchrome)	violet				0	0			22.144													
Ischnura	elegans	68431	2022.148		2022-06-07	2022	Hoje_A_7	148		0	immature	0	androchrome	A	violacea(androchrome)	violet-green				0	0			22.148													
Ischnura	elegans	68418	2022.135		2022-06-07	2022	Hoje_A_7	135		0	immature	0	infuscans	I	violacea(infuscans)	violet-green				0	0			22.135													
Ischnura	elegans	68419	2022.136		2022-06-07	2022	Hoje_A_7	136		0	immature	0	infuscans	I	violacea(infuscans)	violet-green				0	0			22.136													
Ischnura	elegans	68420	2022.137		2022-06-07	2022	Hoje_A_7	137		0	immature	0	infuscans	I	violacea(infuscans)	violet-blue				0	0			22.137													
Ischnura	elegans	68421	2022.138		2022-06-07	2022	Hoje_A_7	138		0	immature	0	infuscans	I	violacea(infuscans)	violet				0	0			22.138													
Ischnura	elegans	68424	2022.141		2022-06-07	2022	Hoje_A_7	141		0	immature	0	infuscans	I	violacea(infuscans)	violet				0	0			22.141													
Ischnura	elegans	68425	2022.142		2022-06-07	2022	Hoje_A_7	142		0	immature	0	infuscans	I	violacea(infuscans)	violet				0	0			22.142													
Ischnura	elegans	68426	2022.143		2022-06-07	2022	Hoje_A_7	143		0	mature	0	infuscans	I		olive				0	0			22.143													
Ischnura	elegans	68428	2022.145		2022-06-07	2022	Hoje_A_7	145		0	immature	0	infuscans	I	violacea(infuscans)	violet				0	0			22.145													
Ischnura	elegans	68432	2022.149		2022-06-07	2022	Hoje_A_7	149		0	immature	0	infuscans	I	violacea(infuscans)	violet				0	0			22.149													
Ischnura	elegans	68429	2022.146		2022-06-07	2022	Hoje_A_7	146		0	immature	0	infuscans-obsoleta	O	rufescens	pink				0	0			22.146													
Ischnura	elegans	68430	2022.147		2022-06-07	2022	Hoje_A_7	147		0	immature	0	infuscans-obsoleta	O	rufescens	pink				0	0			22.147													
Ischnura	elegans	68433	2022.15		2022-06-07	2022	Hoje_A_7	150		0	immature	0			teneral	grey				0	0			22.150													
Ischnura	elegans	68388	2022.105		2022-06-07	2022	Hoje_A_7	105	106	0	mature	1	androchrome	A		blue-green		1		0	0			22.105													
Ischnura	elegans	68391	2022.108		2022-06-07	2022	Hoje_A_7	108	107	0	immature	1	androchrome	A		blue-green		465		1	0			22.108													
Ischnura	elegans	68394	2022.111		2022-06-07	2022	Hoje_A_7	111	112	0	immature	1	androchrome	A		blue-green		317		0	0			22.111													
Ischnura	elegans	68398	2022.115		2022-06-07	2022	Hoje_A_7	115	116	0	mature	1	androchrome	A		turquoise		125		9	0			22.115													
Ischnura	elegans	68401	2022.118		2022-06-07	2022	Hoje_A_7	118	117	0	mature	1	androchrome	A		green		0		0	0			22.118													
Ischnura	elegans	68372	2022.89		2022-06-07	2022	Hoje_A_7	89	90	0	mature	1	androchrome	A		blue-green		135		0	0			22.89													
Ischnura	elegans	68377	2022.94		2022-06-07	2022	Hoje_A_7	94	93	0	mature	1	androchrome	A	violacea(androchrome)	violet-blue		61		0	0			22.94													
Ischnura	elegans	68378	2022.95		2022-06-07	2022	Hoje_A_7	95	96	0	mature	1	androchrome	A		turquoise		419		0	0			22.95													
Ischnura	elegans	68384	2022.101		2022-06-07	2022	Hoje_A_7	101	102	0	mature	1	infuscans	I		green		0		0	0			22.101													
Ischnura	elegans	68386	2022.103		2022-06-07	2022	Hoje_A_7	103	104	0	mature	1	infuscans	I		green		105		0	0			22.103													
Ischnura	elegans	68392	2022.109		2022-06-07	2022	Hoje_A_7	109	110	0	mature	1	infuscans	I		green		86		0	0			22.109													
Ischnura	elegans	68396	2022.113		2022-06-07	2022	Hoje_A_7	113	114	0	immature	1	infuscans	I	violacea(infuscans)	violet-green		213		0	0			22.113													
Ischnura	elegans	68370	2022.87		2022-06-07	2022	Hoje_A_7	87	88	0	immature	1	infuscans	I	violacea(infuscans)	violet-green		180		0	0			22.87													
Ischnura	elegans	68382	2022.99		2022-06-07	2022	Hoje_A_7	99	100	0	mature	1	infuscans	I		olive		362		0	0			22.99													
Ischnura	elegans	68374	2022.91		2022-06-07	2022	Hoje_A_7	91	92	0	mature	1	infuscans-obsoleta	O		pink		307		0	0			22.91													
Ischnura	elegans	68380	2022.97		2022-06-07	2022	Hoje_A_7	97	98	0	mature	1	infuscans-obsoleta	O		pink		291		0	0			22.97													
Ischnura	elegans	68402	2022.119		2022-06-07	2022	Hoje_A_7	119		1	immature	0				green				0	0			22.119								93236991	21090143	8,1			
Ischnura	elegans	68403	2022.12		2022-06-07	2022	Hoje_A_7	120		1	immature	0				turquoise				0	0			22.120								71406371	15184259	6,2			
Ischnura	elegans	68404	2022.121		2022-06-07	2022	Hoje_A_7	121		1	immature	0				turquoise				0	0			22.121													
Ischnura	elegans	68405	2022.122		2022-06-07	2022	Hoje_A_7	122		1	immature	0				green				0	0			22.122													
Ischnura	elegans	68406	2022.123		2022-06-07	2022	Hoje_A_7	123		1	immature	0				green				0	0			22.123													
Ischnura	elegans	68407	2022.124		2022-06-07	2022	Hoje_A_7	124		1	immature	0				blue-green				0	0			22.124								76138449	17469185	6,6			
Ischnura	elegans	68408	2022.125		2022-06-07	2022	Hoje_A_7	125		1	mature	0				blue-green				0	0			22.125													
Ischnura	elegans	68409	2022.126		2022-06-07	2022	Hoje_A_7	126		1	mature	0				blue				0	0			22.126													
Ischnura	elegans	68410	2022.127		2022-06-07	2022	Hoje_A_7	127		1	immature	0				turquoise				0	0			22.127													
Ischnura	elegans	68411	2022.128		2022-06-07	2022	Hoje_A_7	128		1	immature	0				green				0	0			22.128													
Ischnura	elegans	68412	2022.129		2022-06-07	2022	Hoje_A_7	129		1	immature	0				turquoise				0	0			22.129													
Ischnura	elegans	68413	2022.13		2022-06-07	2022	Hoje_A_7	130		1	immature	0				turquoise				0	0			22.130													
Ischnura	elegans	68414	2022.131		2022-06-07	2022	Hoje_A_7	131		1	immature	0				green				0	0			22.131													
Ischnura	elegans	68415	2022.132		2022-06-07	2022	Hoje_A_7	132		1	mature	0				blue				0	0			22.132													
Ischnura	elegans	68416	2022.133		2022-06-07	2022	Hoje_A_7	133		1	mature	0				blue-green				0	0			22.133													
Ischnura	elegans	68417	2022.134		2022-06-07	2022	Hoje_A_7	134		1	immature	0				turquoise				0	0			22.134													
Ischnura	elegans	68383	2022.1		2022-06-07	2022	Hoje_A_7	100	99	1	mature	1				turquoise				0	0			22.100													
Ischnura	elegans	68385	2022.102		2022-06-07	2022	Hoje_A_7	102	101	1	mature	1				turquoise				0	0			22.102													
Ischnura	elegans	68387	2022.104		2022-06-07	2022	Hoje_A_7	104	103	1	mature	1				turquoise				0	0			22.104													
