sample	population	time	depth
L24.18	Hoje_A_14	modern	mean
L24.6	Hoje_A_14	modern	mean
L24.10	Hoje_A_14	modern	mean
24.153	Hoje_A_14	modern	mean
24.151	Hoje_A_14	modern	mean
24.152	Hoje_A_14	modern	mean
24.150	Hoje_A_14	modern	mean
L24.111	Hoje_A_14	modern	mean
L24.137	Hoje_A_14	modern	mean
L24.106	Hoje_A_14	modern	mean
L24.113	Hoje_A_14	modern	mean
L24.132	Hoje_A_14	modern	high
L24.244	Hoje_A_14	modern	mean
L24.256	Hoje_A_14	modern	mean
L24.277	Hoje_A_14	modern	mean
24.1119	Hoje_A_14	modern	mean
24.1126	Hoje_A_14	modern	mean
24.1075	Hoje_A_14	modern	mean
24.1150	Hoje_A_14	modern	mean
24.1157	Hoje_A_14	modern	mean
24.1074	Hoje_A_14	modern	mean
L24.425	Hoje_A_14	modern	mean
L24.433	Hoje_A_14	modern	mean
24.1446	Hoje_A_14	modern	high
24.1458	Hoje_A_14	modern	mean
24.1475	Hoje_A_14	modern	mean
24.1493	Hoje_A_14	modern	mean
24.1445	Hoje_A_14	modern	mean
24.1457	Hoje_A_14	modern	mean
24.1476	Hoje_A_14	modern	mean
24.1804	Hoje_A_14	modern	mean
24.1799	Hoje_A_14	modern	mean
24.1821	Hoje_A_14	modern	mean
24.1800	Hoje_A_14	modern	mean
24.2163	Hoje_A_14	modern	mean
L23.439	Lomma_Kyrkdamm	modern	high
L23.323	Lomma_Kyrkdamm	modern	mean
L23.423	Lomma_Kyrkdamm	modern	very_high
L24.595	Lomma_Kyrkdamm	modern	very_high
L24.87	Lomma_Kyrkdamm	modern	mean
22.1833	Genarp	modern	mean
24.1383	Lomma	modern	mean
