sample	unit	lib	platform	fq1	fq2
L24.18	P36454_209.4	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L004_R2_001.fastq.gz
L24.18	P36454_209.2	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L002_R2_001.fastq.gz
L24.18	P36454_209.3	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L003_R2_001.fastq.gz
L24.6	P36454_201.3	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_201/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_201_S205_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_201/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_201_S205_L003_R2_001.fastq.gz
L24.6	P36454_201.4	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_201/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_201_S205_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_201/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_201_S205_L004_R2_001.fastq.gz
L24.6	P36454_201.2	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_201/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_201_S205_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_201/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_201_S205_L002_R2_001.fastq.gz
L24.10	P36454_206.2	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_206/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_206_S210_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_206/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_206_S210_L002_R2_001.fastq.gz
L24.10	P36454_206.4	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_206/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_206_S210_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_206/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_206_S210_L004_R2_001.fastq.gz
L24.10	P36454_206.3	P36454P2	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_206/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_206_S210_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_206/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_206_S210_L003_R2_001.fastq.gz
24.153	P36454_174.3	P36454P1	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_174/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_174_S184_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_174/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_174_S184_L003_R2_001.fastq.gz
24.153	P36454_174.2	P36454P1	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_174/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_174_S184_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_174/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_174_S184_L002_R2_001.fastq.gz
24.153	P36454_174.4	P36454P1	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_174/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_174_S184_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_174/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_174_S184_L004_R2_001.fastq.gz
24.151	P36454_172.3	P36454P1	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_172/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_172_S182_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_172/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_172_S182_L003_R2_001.fastq.gz
